id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
main_burner_,Section 202 (IFGC) General Definitions,Main Burner,,,,,,"A device or group of devices essentially forming an integral unit for the final conveyance of gas or a mixture of gas and air to the combustion zone, and on which combustion takes place to accomplish the function for which the appliance is designed."
meter_,Section 202 (IFGC) General Definitions,Meter,,,,,,The instrument installed to measure the volume of gas delivered through it.
modulating_,Section 202 (IFGC) General Definitions,Modulating,,,,,,Modulating or throttling is the action of a control from its maximum to minimum position in either predetermined steps or increments of movement as caused by its actuating medium.
noncombustible_materials_,Section 202 (IFGC) General Definitions,Noncombustible Materials,,,,,,"Materials that, where tested in accordance with ASTM E136, have not fewer than three of four specimens tested meeting all of the following criteria:The recorded temperature of the surface and interior thermocouples shall not at any time during the test rise more than 54°F (30°C) above the furnace temperature at the beginning of the test.There shall not be flaming from the specimen after the first 30 seconds.If the weight loss of the specimen during testing exceeds 50 percent, the recorded temperature of the surface and interior thermocouples shall not at any time during the test rise above the furnace air temperature at the beginning of the test, and there shall not be flaming of the specimen."
occupancy_,Section 202 (IFGC) General Definitions,Occupancy,,,,,,"The purpose for which a building, or portion thereof, is utilized or occupied."
offset_vent_,Section 202 (IFGC) General Definitions,Offset (Vent),,,,,,A combination of approved bends that makes two changes in direction bringing one section of the vent out of line but into a line parallel with the other section.
orifice_,Section 202 (IFGC) General Definitions,Orifice,,,,,,"The opening in a cap, spud or other device whereby the flow of gas is limited and through which the gas is discharged to the burner."
outlet_,Section 202 (IFGC) General Definitions,Outlet,,,,,,The point at which a gas-fired appliance connects to the gas piping system.
oxygen_depletion_safety_shutoff_system_ods_,Section 202 (IFGC) General Definitions,Oxygen Depletion Safety Shutoff System (ODS),,,,,,A system designed to act to shut off the gas supply to the main and pilot burners if the oxygen in the surrounding atmosphere is reduced below a predetermined level.
pilot_,Section 202 (IFGC) General Definitions,Pilot,,,,,,A small flame that is utilized to ignite the gas at the main burner or burners.
piping_,Section 202 (IFGC) General Definitions,Piping,,,,,,"Where used in this code, ""piping"" refers to either pipe or tubing, or both."
piping_pipe_,Section 202 (IFGC) General Definitions,Pipe,,,,,,"A rigid conduit of iron, steel, copper, copper-alloy or plastic."
piping_tubing_,Section 202 (IFGC) General Definitions,Tubing,,,,,,"Semirigid conduit of copper, copper-alloy aluminum, plastic or steel."
piping_system_,Section 202 (IFGC) General Definitions,Piping System,,,,,,"The fuel piping, valves and fittings from the outlet of the point of delivery to the outlets of the appliance shutoff valves."
plastic_thermoplastic_,Section 202 (IFGC) General Definitions,"Plastic, Thermoplastic",,,,,,A plastic that is capable of being repeatedly softened by increase of temperature and hardened by decrease of temperature.
point_of_delivery_,Section 202 (IFGC) General Definitions,Point of Delivery,,,,,,"For natural gas systems, the point of delivery is the outlet of the service meter assembly or the outlet of the service regulator or service shutoff valve where a meter is not provided. Where a system shutoff valve is provided after the outlet of the service meter assembly, such valve shall be considered to be downstream of the point of delivery. For undiluted liquefied petroleum gas systems, the point of delivery shall be considered to be the outlet of the service pressure regulator, exclusive of line gas regulators, in the system."
portable_fuel_cell_appliance_,Section 202 (IFGC) General Definitions,Portable Fuel Cell Appliance,,,,,,"A fuel cell generator of electricity, which is not fixed in place. A portable fuel cell appliance utilizes a cord and plug connection to a grid-isolated load and has an integral fuel supply."
press_connect_joint_,Section 202 (IFGC) General Definitions,Press-Connect Joint,,,,,,A permanent mechanical joint incorporating an elastomeric seal or an elastomeric seal and corrosion-resistant grip or bite ring. The joint is made with a pressing tool and jaw or ring approved by the fitting manufacturer.
pressure_drop_,Section 202 (IFGC) General Definitions,Pressure Drop,,,,,,"The loss in pressure due to friction or obstruction in pipes, valves, fittings, regulators and burners."
pressure_test_,Section 202 (IFGC) General Definitions,Pressure Test,,,,,,An operation performed to verify the gastight integrity of gas piping following its installation or modification.
purge_,Section 202 (IFGC) General Definitions,Purge,,,,,,"To free a gas conduit of air or gas, or a mixture of gas and air."
quick_disconnect_device_,Section 202 (IFGC) General Definitions,Quick-Disconnect Device,,,,,,A hand-operated device that provides a means for connecting and disconnecting an appliance or an appliance connector to a gas supply and that is equipped with an automatic means to shut off the gas supply when the device is disconnected.
ready_access_to_,Section 202 (IFGC) General Definitions,Ready Access (To),,,,,,"That which enables a device, appliance or equipment to be directly reached, without requiring the removal or movement of any panel, door or similar obstruction (see ""Access"")."
