id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
duct_system_,Section 202 General Definitions,Duct System,,,,,,"A continuous passageway for the transmission of air that, in addition to ducts, includes duct fittings, dampers, plenums, fans and accessory air-handling equipment and appliances."
ductless_mini_split_system_,Section 202 General Definitions,Ductless Mini-Split System,,,,,,A heating and cooling system that is comprised of one or multiple indoor evaporator/air-handling units and an outdoor condensing unit that is connected by refrigerant piping and electrical wiring. A ductless mini-split system is capable of cooling or heating one or more rooms without the use of a traditional ductwork system.
dwelling_,Section 202 General Definitions,Dwelling,,,,,,A building or portion thereof that contains not more than two dwelling units.
dwelling_unit_,Section 202 General Definitions,Dwelling Unit,,,,,,"A single unit providing complete, independent living facilities for one or more persons, including permanent provisions for living, sleeping, eating, cooking and sanitation."
electric_heating_appliance_,Section 202 General Definitions,Electric Heating Appliance,,,,,,"An appliance that produces heat energy to create a warm environment by the application of electric power to resistance elements, refrigerant compressors or dissimilar material junctions."
energy_recovery_ventilation_system_,Section 202 General Definitions,Energy Recovery Ventilation System,,,,,,"Systems that employ air-to-air heat exchangers to recover energy from or reject energy to exhaust air for the purpose of preheating, precooling, humidifying or dehumidifying outdoor ventilation air prior to supplying such air to a space, either directly or as part of an HVAC system."
environmental_air_,Section 202 General Definitions,Environmental Air,,,,,,"Air that is conveyed to or from occupied areas through ducts that are not part of the heating or air-conditioning system, such as ventilation for human usage, domestic kitchen range exhaust, bathroom exhaust, domestic clothes dryer exhaust and parking garage exhaust."
equipment_,Section 202 General Definitions,Equipment,,,,,,"Piping, ducts, vents, control devices and other components of systems other than appliances that are permanently installed and integrated to provide control of environmental conditions for buildings. This definition shall also include other systems specifically regulated in this code."
equipment_existing_,Section 202 General Definitions,"Equipment, Existing",,,,,,"Any equipment regulated by this code which was legally installed prior to the effective date of this code, or for which a permit to install has been issued."
evaporative_cooler_,Section 202 General Definitions,Evaporative Cooler,,,,,,A device used for reducing the sensible heat of air for cooling by the process of evaporation of water into an airstream.
evaporative_cooling_system_,Section 202 General Definitions,Evaporative Cooling System,,,,,,The equipment and appliances intended or installed for the purpose of environmental cooling by an evaporative cooler from which the conditioned air is distributed through ducts or plenums to the conditioned area.
evaporator_,Section 202 General Definitions,Evaporator,,,,,,That part of the system in which liquid refrigerant is vaporized to produce refrigeration.
excess_air_,Section 202 General Definitions,Excess Air,,,,,,"The amount of air provided in addition to theoretical air to achieve complete combustion of a fuel, thereby preventing the formation of dangerous products of combustion."
exfiltration_,Section 202 General Definitions,Exfiltration,,,,,,"Uncontrolled outward air leakage from conditioned spaces through unintentional openings in ceilings, floors and walls to unconditioned spaces or the outdoors caused by pressure differences across these openings resulting from wind, the stack effect created by temperature differences between indoors and outdoors, and imbalances between supply and exhaust airflow rates."
exhaust_system_,Section 202 General Definitions,Exhaust System,,,,,,"An assembly of connected ducts, plenums, fittings, registers, grilles and hoods through which air is conducted from the space or spaces and exhausted to the outdoor atmosphere."
extra_heavy_duty_cooking_appliance_,Section 202 General Definitions,Extra-Heavy-Duty Cooking Appliance,,,,,,Extra-heavy-duty cooking appliances are those utilizing open flame combustion of solid fuel at any time.
fire_damper_,Section 202 General Definitions,Fire Damper,,,,,,"A listed device installed in ducts and air transfer openings designed to close automatically upon detection of heat and to restrict the passage of flame. Fire dampers are classified for use in either static systems that will automatically shut down in the event of a fire, or in dynamic systems that continue to operate during a fire. A dynamic fire damper is tested and rated for closure under elevated temperature airflow."
fireplace_,Section 202 General Definitions,Fireplace,,,,,,"An assembly consisting of a hearth and fire chamber of noncombustible material and provided with a chimney, for use with solid fuels."
factory_built_fireplace_,Section 202 General Definitions,Factory-Built Fireplace,,,,,,"A listed and labeled fireplace and chimney system composed of factory-made components, and assembled in the field in accordance with manufacturer's instructions and the conditions of the listing."
masonry_fireplace_,Section 202 General Definitions,Masonry Fireplace,,,,,,"A field-constructed fireplace composed of solid masonry units, bricks, stones or concrete."
fireplace_stove_,Section 202 General Definitions,Fireplace Stove,,,,,,"A free-standing, chimney-connected, solid-fuel-burning heater, designed to be operated with the fire chamber doors in either the open or closed position."
flame_safeguard_,Section 202 General Definitions,Flame Safeguard,,,,,,"A device that will automatically shut off the fuel supply to a main burner or group of burners when the means of ignition of such burners becomes inoperative, and when flame failure occurs on the burner or group of burners."
flame_spread_index_,Section 202 General Definitions,Flame Spread Index,,,,,,The numerical value assigned to a material tested in accordance with ASTM E84 or UL 723.
flammability_classification_refrigerant_,Section 202 General Definitions,Flammability Classification (Refrigerant),,,,,,The alphabetical/numerical designation used to identify the flammability of refrigerants.
flammability_classification_refrigerant_class_1_,Section 202 General Definitions,Class 1,,,,,,Indicates a refrigerant with no flame propogation.
flammability_classification_refrigerant_class_2_,Section 202 General Definitions,Class 2,,,,,,Indicates a refrigerant with low flammability.
flammability_classification_refrigerant_class_2l_,Section 202 General Definitions,Class 2L,,,,,,Indicates a refrigerant with low flammability and low burning velocity.
flammability_classification_refrigerant_class_3_,Section 202 General Definitions,Class 3,,,,,,Indicates a refrigerant with high flammability.
flammable_liquids_,Section 202 General Definitions,Flammable Liquids,,,,,,"Any liquid that has a flash point below 100°F (38°C), and has a vapor pressure not exceeding 40 psia (276 kPa) at 100°F (38°C). Flammable liquids shall be known as Class I liquids and shall be divided into the following classifications:"
flammable_liquids_class_ia_,Section 202 General Definitions,Class IA,,,,,,Liquids having a flash point below 73°F (23°C) and a boiling point below 100°F (38°C).
flammable_liquids_class_ib_,Section 202 General Definitions,Class IB,,,,,,Liquids having a flash point below 73°F (23°C) and a boiling point at or above 100°F (38°C).
flammable_liquids_class_ic_,Section 202 General Definitions,Class IC,,,,,,Liquids having a flash point at or above 73°F (23°C) and below 100°F (38°C).
flammable_vapor_or_fumes_,Section 202 General Definitions,Flammable Vapor or Fumes,,,,,,Mixtures of gases in air at concentrations equal to or greater than the LFL and less than or equal to the upper flammability limit (UFL).
flash_point_,Section 202 General Definitions,Flash Point,,,,,,"The minimum temperature corrected to a pressure of 14.7 psia (101 kPa) at which the application of a test flame causes the vapors of a portion of the sample to ignite under the conditions specified by the test procedures and apparatus. The flash point of a liquid shall be determined in accordance with ASTM D56, ASTM D93 or ASTM D3278."
flexible_air_connector_,Section 202 General Definitions,Flexible Air Connector,,,,,,"A conduit for transferring air between an air duct or plenum and an air terminal unit or between an air duct or plenum and an air inlet or air outlet. Such conduit is limited in its use, length and location."
floor_area_net_,Section 202 General Definitions,"Floor Area, Net",,,,,,"The actual occupied area, not including unoccupied accessory areas or thicknesses of walls."
